Wavelength_nm	Energy_eV	VOC_V	JSC_mA/cm2	FF_%	PCE_%
308.30433	4.022	3.46457	0.0029	95.62659	0.00961
308.45771	4.02	3.46394	0.00305	95.62598	0.01012
308.61125	4.018	3.46326	0.00321	95.62519	0.01064
308.76494	4.016	3.46252	0.00337	95.62445	0.01115
308.91878	4.014	3.46172	0.00353	95.62367	0.01167
309.07278	4.012	3.46087	0.00368	95.62279	0.01218
309.22693	4.01	3.45999	0.00384	95.62186	0.01271
309.38124	4.008	3.45908	0.004	95.62089	0.01324
309.5357	4.006	3.45816	0.00417	95.6199	0.01379
309.69031	4.004	3.45725	0.00434	95.6189	0.01436
309.84508	4.002	3.45634	0.00453	95.61794	0.01496
310	4	3.45544	0.00472	95.61705	0.01559
310.15508	3.998	3.45458	0.00493	95.61619	0.01627
310.31031	3.996	3.45375	0.00515	95.61535	0.01701
310.4657	3.994	3.45297	0.00539	95.61451	0.0178
310.62124	3.992	3.45222	0.00565	95.61364	0.01866
310.77694	3.99	3.4515	0.00594	95.61296	0.01959
310.9328	3.988	3.45082	0.00624	95.61228	0.02059
311.08881	3.986	3.45014	0.00656	95.61149	0.02164
311.24498	3.984	3.44942	0.00689	95.61076	0.02272
311.40131	3.982	3.44865	0.00722	95.61001	0.02379
311.55779	3.98	3.44784	0.00755	95.60915	0.02488
311.71443	3.978	3.44701	0.00789	95.60824	0.026
311.87123	3.976	3.44617	0.00824	95.60729	0.02716
312.02818	3.974	3.44531	0.00861	95.60641	0.02835
312.1853	3.972	3.44444	0.00898	95.60554	0.02957
312.34257	3.97	3.44354	0.00936	95.60462	0.03082
312.5	3.968	3.44262	0.00975	95.60367	0.03209
312.65759	3.966	3.44168	0.01015	95.60268	0.0334
312.81534	3.964	3.44073	0.01056	95.60168	0.03473
312.97325	3.962	3.43976	0.01098	95.60066	0.03611
313.13131	3.96	3.43878	0.01141	95.59962	0.0375
313.28954	3.958	3.43776	0.01184	95.59854	0.0389
313.44793	3.956	3.43671	0.01227	95.59744	0.0403
313.60647	3.954	3.43563	0.0127	95.59631	0.04172
313.76518	3.952	3.43456	0.01315	95.59517	0.04319
313.92405	3.95	3.43349	0.01362	95.59403	0.0447
314.08308	3.948	3.43241	0.0141	95.59288	0.04627
314.24227	3.946	3.43133	0.0146	95.59172	0.04788
314.40162	3.944	3.43025	0.01511	95.59054	0.04955
314.56114	3.942	3.42916	0.01564	95.58935	0.05125
314.72081	3.94	3.42806	0.01617	95.58816	0.05299
314.88065	3.938	3.42694	0.01671	95.58703	0.05475
315.04065	3.936	3.4258	0.01726	95.58586	0.05653
315.20081	3.934	3.42462	0.0178	95.58464	0.05826
315.36114	3.932	3.42338	0.01831	95.58331	0.05993
